ticket_id,product,feature,issue_description,resolution_status
36115021,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Unresolved
14769176,Portable Speaker,Durability,The speaker is not as durable as expected compromising its usability.,Unresolved
40582581,Smartphone,Battery,The battery is draining too quickly.,Resolved
18747251,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Escalated
54712494,Laptop,Battery,The laptop battery life is significantly shorter than advertised.,Escalated
31657667,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Escalated
97222075,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Unresolved
18040994,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Escalated
87426093,Desktop Computer,RAM,The computer is running out of memory causing programs to freeze.,Unresolved
57006061,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Resolved
59650820,Desktop Computer,Connectivity,The computer is unable to connect to the internet or peripheral devices.,Resolved
75675392,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Resolved
25318058,Desktop Computer,Connectivity,The computer is experiencing frequent connectivity issues with external devices.,Unresolved
82632463,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Unresolved
45957561,Laptop,Display,The laptop display is flickering and causing eye strain.,Unresolved
33587790,Smartphone,Camera,The camera is struggling to focus properly.,Resolved
53915527,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Resolved
57542831,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Escalated
77727707,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Resolved
93177916,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Resolved
31946594,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Resolved
34415766,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Resolved
25575444,Smartwatch,Fitness Tracking,The user is dissatisfied with the watch ability to monitor their fitness.,Unresolved
14143223,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Escalated
83915651,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Resolved
67856468,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Escalated
49356243,Wireless Headphones,Controls,The headphones controls are not functioning as expected.,Escalated
89587694,Desktop Computer,Graphics,The computer graphics performance is poor affecting gaming and multimedia.,Unresolved
37763942,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Escalated
35560181,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Resolved
20062231,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Escalated
85139055,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Unresolved
35758249,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Unresolved
27744047,Laptop,Display,The laptop display is not delivering the expected visual quality.,Unresolved
98541665,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Unresolved
91622248,Desktop Computer,RAM,The computer is running out of memory causing programs to freeze.,Escalated
42556961,Wireless Earbuds,Controls,The earbuds controls are not functioning as expected frustrating the user.,Unresolved
44829212,Wireless Earbuds,Battery Life,The earbuds battery life is short requiring frequent charging.,Escalated
45477552,Smartphone,Connectivity,The phone is unable to connect to the wifi network.,Resolved
85907201,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Resolved
14922983,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Escalated
42092113,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Escalated
62416562,Wireless Earbuds,Battery Life,The earbuds battery life is short requiring frequent charging.,Resolved
13988605,Smartphone,Performance,The phone is lagging and crashing when running multiple apps.,Resolved
17034875,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Resolved
41238460,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Resolved
87601688,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Unresolved
23962767,Gaming Console,Online Services,The online multiplayer services are unreliable and laggy.,Resolved
68840438,Smartphone,Battery,The battery is not holding a charge for long enough.,Unresolved
73019134,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Resolved
63817097,Desktop Computer,Connectivity,The computer is unable to connect to the internet or peripheral devices.,Resolved
22847502,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Resolved
21264131,Gaming Console,Online Services,The user is dissatisfied with the quality of the online experience.,Unresolved
83650232,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Escalated
16190827,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Resolved
73457623,Portable Speaker,Durability,The speaker build quality is not up to par affecting its lifespan.,Unresolved
66667076,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Resolved
34828377,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Escalated
43417716,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Unresolved
81907463,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Escalated
28048961,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Escalated
10269641,Gaming Console,Online Services,The user is dissatisfied with the quality of the online experience.,Escalated
79201622,Smartphone,Battery,The battery is draining too quickly.,Resolved
54626349,Gaming Console,Online Services,The online services are frequently experiencing server outages.,Escalated
70223220,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Unresolved
99014610,Laptop,Display,The laptop display is not delivering the expected visual quality.,Resolved
94188130,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Resolved
23959453,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Resolved
31319478,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Resolved
42439067,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Unresolved
23865477,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Resolved
85134857,Portable Speaker,Durability,The speaker is not withstanding the elements and is getting damaged.,Escalated
18247935,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Unresolved
91511676,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Unresolved
16557382,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Unresolved
94999337,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Resolved
87355282,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Resolved
20212330,Desktop Computer,Storage,The computer storage is full preventing the user from saving new files.,Unresolved
96830502,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Unresolved
50719026,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Unresolved
38115735,Portable Speaker,Durability,The speaker is not withstanding the elements and is getting damaged.,Resolved
97642757,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Resolved
14653098,Desktop Computer,Storage,The computer storage is full preventing the user from saving new files.,Unresolved
44012101,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Resolved
65847888,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Resolved
23712859,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Resolved
50781470,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Unresolved
76973478,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Unresolved
67246182,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Escalated
36729848,Smartphone,Performance,The phone is running slowly and freezing frequently.,Unresolved
47742639,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Resolved
40226989,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Escalated
47570750,Wireless Earbuds,Battery Life,The earbuds battery drains quickly even with moderate use.,Escalated
71450904,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Resolved
12414609,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Unresolved
71272427,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Escalated
24117266,Gaming Console,Controller,The controller is not registering inputs properly.,Unresolved
93671163,Laptop,Battery,The laptop battery life is significantly shorter than advertised.,Escalated
99758065,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Escalated
73140140,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Resolved
41819221,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Escalated
57279026,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Escalated
59509144,Wireless Headphones,Audio Quality,The audio quality is muffled and lacks clarity.,Escalated
41837814,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Unresolved
41977140,Gaming Console,Online Services,The online services are frequently experiencing server outages.,Unresolved
34955764,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Resolved
60866637,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Resolved
94992702,Portable Speaker,Durability,The speaker is not as durable as expected compromising its usability.,Resolved
40701123,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Unresolved
88317656,Smartphone,Camera,The camera is not capturing clear photos.,Resolved
53090119,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Resolved
54013100,Portable Speaker,Audio Quality,The speaker is unable to deliver the desired audio experience.,Escalated
86652543,Smartphone,Battery,The battery is draining too quickly.,Escalated
44226355,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Resolved
74296958,Smartphone,Performance,The phone is running slowly and freezing frequently.,Escalated
68164252,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Unresolved
32908288,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Unresolved
97114431,Wireless Headphones,Connectivity,The headphones Bluetooth connectivity is unreliable.,Unresolved
43275002,Smartphone,Performance,The phone is lagging and crashing when running multiple apps.,Resolved
29727406,Wireless Earbuds,Battery Life,The earbuds battery drains quickly even with moderate use.,Unresolved
98192294,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Escalated
25437610,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Escalated
19927367,Wireless Headphones,Battery Life,The headphones run out of battery too quickly.,Unresolved
79678172,Wireless Earbuds,Battery Life,The earbuds battery drains quickly even with moderate use.,Escalated
71690440,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
80151510,Smartphone,Display,The display is not responsive to touch inputs.,Unresolved
96993222,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Resolved
16644143,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Unresolved
40330863,Smartphone,Battery,The battery life is significantly shorter than expected.,Resolved
55001028,Desktop Computer,Storage,The computer storage is full preventing the user from saving new files.,Unresolved
87656707,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Escalated
65371057,Wireless Headphones,Controls,The headphones controls are not functioning as expected.,Escalated
98337798,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Escalated
23726710,Desktop Computer,RAM,The computer is running out of memory causing programs to freeze.,Escalated
59200215,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Resolved
44305277,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Escalated
32437052,Laptop,Storage,The laptop storage is running low causing issues with file management.,Resolved
54389749,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Escalated
57880534,Laptop,Display,The laptop display is not delivering the expected visual quality.,Unresolved
40785407,Wireless Earbuds,Audio Quality,The earbuds are unable to provide the expected level of audio clarity and fidelity.,Resolved
12083344,Portable Speaker,Durability,The speaker build quality is not up to par affecting its lifespan.,Unresolved
87449060,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Escalated
41482526,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Resolved
74713042,Portable Speaker,Battery Life,The speaker battery is not lasting as long as expected.,Resolved
92169470,Gaming Console,Controller,The controller buttons and joysticks feel unresponsive.,Resolved
67151158,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Unresolved
61676437,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Resolved
92207628,Gaming Console,Controller,The controller is not registering inputs properly.,Unresolved
16170330,Smartphone,Connectivity,The phone is experiencing frequent drops in cellular connectivity.,Resolved
44017923,Portable Speaker,Durability,The speaker is not withstanding the elements and is getting damaged.,Escalated
28147991,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Escalated
85258005,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Unresolved
40699879,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Unresolved
92454269,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Resolved
42818705,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Unresolved
39516799,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Escalated
81531771,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Resolved
11681496,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Escalated
92146247,Smartwatch,Fitness Tracking,The watch is not accurately tracking the user fitness activities.,Resolved
23645300,Laptop,Battery,The laptop battery life is significantly shorter than advertised.,Resolved
63623072,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Escalated
54821114,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Escalated
54626259,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Unresolved
70513565,Gaming Console,Online Services,The online services are frequently experiencing server outages.,Resolved
17118132,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Unresolved
24939776,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Unresolved
71804340,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Escalated
87498104,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Unresolved
55571642,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Escalated
86398171,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Resolved
73874144,Wireless Earbuds,Audio Quality,The earbuds are unable to provide the expected level of audio clarity and fidelity.,Escalated
55283207,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Resolved
92278373,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Resolved
12698043,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Resolved
76335748,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Escalated
66452637,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Escalated
53216556,Wireless Earbuds,Battery Life,The earbuds battery drains quickly even with moderate use.,Resolved
83179673,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Escalated
29615559,Gaming Console,Controller,The controller buttons and joysticks feel unresponsive.,Resolved
68476395,Desktop Computer,Connectivity,The computer is unable to connect to the internet or peripheral devices.,Unresolved
54252021,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Resolved
33357846,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Resolved
27219407,Smartphone,Camera,The camera is not capturing clear photos.,Escalated
11298301,Smartphone,Camera,The camera is producing blurry and grainy images.,Escalated
26078251,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Escalated
11359560,Laptop,Battery,The laptop battery is not lasting as long as expected.,Unresolved
44094341,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Unresolved
66635861,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Escalated
24416165,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Escalated
72338134,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Resolved
27349841,Desktop Computer,Connectivity,The computer is experiencing frequent connectivity issues with external devices.,Resolved
61463305,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Unresolved
97291296,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Unresolved
44974834,Portable Speaker,Durability,The speaker is not withstanding the elements and is getting damaged.,Unresolved
26210819,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Resolved
65922288,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Unresolved
96203072,Wireless Earbuds,Battery Life,The earbuds battery life is short requiring frequent charging.,Resolved
82062699,Gaming Console,Online Services,The online services are frequently experiencing server outages.,Escalated
68566934,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Resolved
94341369,Smartphone,Camera,The camera is not capturing clear photos.,Escalated
86250906,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Resolved
51686321,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Unresolved
93022167,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Unresolved
22909895,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Unresolved
64508745,Gaming Console,Online Services,The user is dissatisfied with the quality of the online experience.,Unresolved
60504875,Laptop,Display,The laptop display is flickering and causing eye strain.,Escalated
60001489,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Escalated
13436660,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Resolved
64966050,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Escalated
16594766,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Unresolved
22959830,Wireless Headphones,Audio Quality,The audio quality is muffled and lacks clarity.,Escalated
78740747,Gaming Console,Online Services,The user is dissatisfied with the quality of the online experience.,Resolved
80237095,Smartwatch,Battery Life,The watch battery is not lasting as long as expected between charges.,Resolved
68835017,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Unresolved
54802440,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Unresolved
68398648,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Resolved
83445192,Gaming Console,Controller,The controller is experiencing connectivity issues.,Escalated
72302557,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Resolved
75168674,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Unresolved
79789082,Gaming Console,Game Library,The user is unable to find the specific games they want to play.,Resolved
63959225,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Resolved
21616565,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Resolved
49663011,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Resolved
40257450,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Resolved
46517294,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Resolved
26345758,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Resolved
69176472,Laptop,Processor,The laptop is struggling to run multiple applications simultaneously.,Resolved
72763578,Laptop,Display,The laptop display is not delivering the expected visual quality.,Resolved
65024533,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Escalated
39226391,Desktop Computer,Connectivity,The computer is unable to connect to the internet or peripheral devices.,Unresolved
23147046,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Unresolved
55338265,Smartwatch,Battery Life,The watch battery is not lasting as long as expected between charges.,Unresolved
56177990,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Resolved
92845495,Desktop Computer,RAM,The computer RAM is maxed out leading to poor overall performance.,Resolved
89132985,Desktop Computer,RAM,The computer is experiencing frequent crashes and freezes due to insufficient RAM.,Escalated
57330933,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Resolved
15128935,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Unresolved
30750380,Wireless Earbuds,Controls,The touch controls on the earbuds are unresponsive and difficult to use.,Unresolved
31920821,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Resolved
37889263,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Unresolved
91486584,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Unresolved
64219539,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Escalated
91807944,Smartphone,Battery,The battery is not holding a charge for long enough.,Escalated
63063101,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Unresolved
79414602,Smartphone,Camera,The camera is not capturing clear photos.,Unresolved
59874049,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Resolved
24698228,Smartwatch,Fitness Tracking,The user is dissatisfied with the watch ability to monitor their fitness.,Unresolved
31826912,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Resolved
42092300,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Escalated
26436494,Laptop,Display,The laptop display is flickering and causing eye strain.,Escalated
99572856,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Resolved
97430466,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Resolved
24515880,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Resolved
89148396,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Unresolved
33277690,Desktop Computer,Connectivity,The computer is experiencing frequent connectivity issues with external devices.,Unresolved
48873476,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Escalated
17487156,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Resolved
95879963,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Resolved
80266215,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Unresolved
98451079,Portable Speaker,Audio Quality,The speaker is unable to deliver the desired audio experience.,Escalated
71165445,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Unresolved
37543873,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Escalated
32525913,Portable Speaker,Durability,The speaker is not withstanding the elements and is getting damaged.,Resolved
51034256,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Unresolved
49523318,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Resolved
94085489,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Unresolved
89293339,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Unresolved
84649770,Wireless Headphones,Audio Quality,The audio quality is not meeting the user expectations.,Escalated
22938037,Desktop Computer,Connectivity,The computer is unable to connect to the internet or peripheral devices.,Unresolved
91552545,Wireless Earbuds,Connectivity,The earbuds are experiencing frequent connection issues.,Resolved
25512205,Smartphone,Camera,The camera is not capturing clear photos.,Resolved
85392999,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Escalated
43195144,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Unresolved
32191297,Wireless Headphones,Audio Quality,The audio quality is not meeting the user expectations.,Escalated
82377995,Smartphone,Performance,The phone is running slowly and freezing frequently.,Escalated
92746394,Smartphone,Display,The display is not responsive to touch inputs.,Resolved
40157459,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Escalated
63534060,Wireless Earbuds,Connectivity,The earbuds Bluetooth connectivity is unreliable causing disruptions.,Resolved
75006093,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Unresolved
12973390,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Escalated
11651189,Wireless Earbuds,Controls,The earbuds controls are not functioning as expected frustrating the user.,Escalated
45553579,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Unresolved
34294946,Smartwatch,Battery Life,The watch battery is not lasting as long as expected between charges.,Resolved
93137974,Wireless Earbuds,Battery Life,The earbuds battery drains quickly even with moderate use.,Unresolved
49650025,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Escalated
72353255,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Escalated
71412530,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Resolved
42190050,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Unresolved
72440733,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Escalated
30918036,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Resolved
61180610,Laptop,RAM,The laptop RAM is maxed out leading to poor multitasking performance.,Unresolved
15179217,Gaming Console,Controller,The controller is not registering inputs properly.,Resolved
51513130,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Unresolved
51122506,Portable Speaker,Connectivity,The speaker is experiencing frequent connection issues.,Resolved
13440829,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Resolved
34582253,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Escalated
15078345,Desktop Computer,Graphics,The computer is unable to handle graphics-intensive applications effectively.,Resolved
17948618,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Escalated
75117070,Portable Speaker,Durability,The speaker build quality is not up to par affecting its lifespan.,Escalated
16399232,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Resolved
19466788,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Escalated
70334968,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Resolved
38178783,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Escalated
24050943,Desktop Computer,Storage,The computer storage is full preventing the user from saving new files.,Resolved
48242861,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Resolved
16740124,Portable Speaker,Audio Quality,The speaker is unable to deliver the desired audio experience.,Unresolved
40557815,Laptop,Display,The laptop display is not delivering the expected visual quality.,Unresolved
38847052,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Escalated
18227026,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Unresolved
41887465,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Escalated
21123888,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Resolved
97920422,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Resolved
46685446,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Unresolved
27185853,Smartphone,Connectivity,The phone is having trouble maintaining a stable internet connection.,Resolved
98695006,Wireless Earbuds,Audio Quality,The earbuds are unable to provide the expected level of audio clarity and fidelity.,Unresolved
39610877,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Resolved
61894560,Smartphone,Performance,The phone is lagging and crashing when running multiple apps.,Unresolved
19282493,Wireless Headphones,Audio Quality,The audio quality is muffled and lacks clarity.,Resolved
92814153,Laptop,Display,The laptop display is flickering and causing eye strain.,Escalated
18061952,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Resolved
11534838,Smartphone,Camera,The camera is not capturing clear photos.,Unresolved
99426429,Laptop,Battery,The laptop battery is not lasting as long as expected.,Escalated
73780331,Gaming Console,Game Library,The user is unable to find the specific games they want to play.,Resolved
92390298,Smartphone,Display,The display is not responsive to touch inputs.,Escalated
44664439,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Unresolved
80425031,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Resolved
15800972,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Escalated
32662304,Wireless Earbuds,Audio Quality,The audio quality of the earbuds is poor with frequent static and distortion.,Resolved
11725550,Smartphone,Camera,The camera is not capturing clear photos.,Resolved
53800524,Wireless Earbuds,Audio Quality,The audio quality of the earbuds is poor with frequent static and distortion.,Unresolved
53726574,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Resolved
53340788,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Escalated
42798663,Desktop Computer,Connectivity,The computer is experiencing frequent connectivity issues with external devices.,Unresolved
76661556,Portable Speaker,Durability,The speaker is not as durable as expected compromising its usability.,Unresolved
33230095,Smartphone,Camera,The camera is struggling to focus properly.,Resolved
42985910,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Escalated
